ID,원문명칭,영문명칭,기호,단위 및 위상,역학적 정의,산출식 및 관계식,선행 조건 (Parent_ID),비고 / 계층
AX_01,실재의 조건,Primordial Condition of Existence,dt,이행 시차 (Time Delta),0초의 시차는 비실재이며;  0보다 큰 시차만이 실재를 성립시킴,[{(dt = 0) = ∄} ⟹ {∃ = (dt > 0)}],-,존재론적 공리 (Ontological Axiom)
AX_02,양의 간극 및 밀도,Positivity of Delta & Density,δ; ρ; P; V,기본 상태량 (Fundamental State Variables),최소 간극 및 밀도/압력/부피는 0보다 큼,[dt ≡ {δ * δ_length(1 / ρ)}] ⟹ [δ; ρ; P; V > 0],AX_01,존재론적 공리 (Ontological Axiom)
ID_01,기저 동치 및 질량,Fundamental Equivalence & Mass,Shift; P; δ; m,기저 동치 (Fundamental Equivalence),이행; 압력; 간극; 부피*밀도; 질량의 동질적 실재,Shift(⟶) ≡ P ≡ δ ≡ dt ≡ [V * ρ] ≡ m,AX_02,기저 물리량 (Fundamental Quantity)
DY_01,비가역 이행,Irreversible Shift,P_total,총 압력 스칼라 (Total Pressure Scalar),총 압력의 단조 증가 및 상태 중복 불가,P_total(t + dt) > P_total(t) (단; δ ≡ dt > 0),ID_01,동역학 법칙 (Dynamic Law)
GE_01,내외향 면적 비대칭,Inward-Outward Area Asymmetry,ΔA,표면적 비대칭 (Surface Area Asymmetry),구형 구조에서 내향 표면적이 외향 면적보다 큼,ΔA = A_inward[4*π*(r_out)²] - A_outward[4*π*(r_in)²] (단; A_inward > A_outward),DY_01,구형 기하학 (Spherical Geometry)
DY_02,운동 및 밀도 낙차,Motion & Density Gradient,v; ∇P; ∇ρ,동역학 이행 (Dynamic Shift),압력 수렴이 선행하여 밀도 낙차를 따라 운동 유도,v ∝ (+∇P ⟺ -∇ρ) ⟹ v ∝ -∇ρ,GE_01,동역학 법칙 (Dynamic Law)
PH_01,에이펙손,Apexon,ρ_Apexon,임계 밀도 (Critical Density),압력 추가 시 부피(V ≥ 1)가 창발되는 기저 밀도 조건,V ≥ 1 Unit; ρ = ρ_Apexon,AX_02,위상 경계 (Phase Boundary)
PH_02,포몬,Formon,𝔽,국소 객체 마디 (Local Object Node),압력 충돌 및 선-후행 전환 사건 그 자체인 최소 객체,[부피 1 * 밀도 ρ] ≡ 𝔽,ID_01,객체화 계층 (Objectification)
PH_03,포머,Former,Former,상위 계 (Superordinate System),하위 포몬에게 체류 환경과 밀도 낙차 경계를 제공하는 상위 계,Former_A ⊃ Formon_B (= Former_B),PH_02,위계 구조 (Hierarchy)
PH_04,객체화,Objectification,Obj,연속적 상전이 공정 (Continuous Phase Transition),전체 압력 상승으로 에이펙손 밀도를 상회하는 압력이 국소 마디로 중첩·압착되어 계층적 경계를 갖추어 나가는 과정,ρ_local ≥ ρ_Apexon → V ≥ 1,PH_01,형성 과정 (Formation Process)
